Наименование товара,ID Маркетплейс,Артикул поставщика,Мерчант,Описание,Торговая марка (бренд),Штрих-код,"Размеры в упаковке: ширина, мм","Размеры в упаковке: длина, мм","Размеры в упаковке: высота, мм","Вес в упаковке, кг",Страна-производитель,Короткое название для чека,Название для листинга,Название для сайта,ID Товара в ERP мерчанта,Дизайн,Вес без упаковки (кг),Материал основы,Материал верха,Влагостойкость,Рельеф,Назначение,Тип клея,Марка,Подбор рисунка,Цвет,Высота рисунка (см),Ширина рисунка (см)
"8-467 Disney Фотообои KOMAR ""Человек-паук. Бетонные джунгли"" 368смх2,54м бумажные",90018268,8-467,ООО Комар Продактс Рус,"<p>Фотообои «Человек-паук. Бетонные джунгли» немецкого производителя Komar принадлежат коллекции Disney и созданы для поклонников одноименного комикса всех возрастов. За счет перспективы изображение визуально расширяет пространство помещения. Плотное полотно изготовлено из бумаги и хорошо пропускает воздух, благодаря чему исключено пузырей и складок на покрытии. Для удобства монтажа обои разделены на 8 частей. Рекомендуется заранее удалить с выбранной поверхности шероховатости и трещины. Перед нанесением на стену необходимо дать листам пропитаться клеем и растянуться в течение 3 минут.</p>",Komar,4036834084677,90,1005,90,1.9,Германия,Фотообои Komar Человек-Паук. Бет джунгли,Фотообои Komar Человек-Паук. Бетонные джунгли,"Фотообои «Человек-паук. Бетонные джунгли», бумажные, 368х254 см, 90018268",3c14493e-f75f-11e5-80c2-0007e92010d9,мультипликация,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,3.68
"8-525 Фотообои KOMAR ""Утро в горах"" 368смх2,54м бумажные",90018254,8-525,ООО Комар Продактс Рус,"<p>Рисунок фотообоев Komar «Утро в горах» из серии National Geographic изготовлен способом листовой офсетной печати на прочной полуглянцевой бумаге. Качественное покрытие противостоит выгоранию, длительное время сохраняет четкость и насыщенность цвета. Полотно разделено на восемь оптимальных по размеру частей. Каждый фрагмент обрезан для удобства стыковки и совмещения рисунка. Модель можно клеить обычным методом с помощью фирменного клея, который поставляется в комплекте. Производитель рекомендует панно к использованию в жилых комнатах. Горный пейзаж также будет органично смотреться в кафе, офисе и других общественных заведениях.</p>",Komar,4036834085254,90,1005,90,1.9,Германия,Фотообои Komar Утро в горах,Фотообои Komar Утро в горах,"Фотообои «Утро в горах», бумажные, 368х254 см, 90018254",e51be2e0-f7e4-11e5-80c2-0007e92010d9,природа,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,3.68
"XXL4-916 Фотообои KOMAR ""Пентхаус"" 368смх2,48м флизелиновые",90020554,XXL4-916,ООО Комар Продактс Рус,"<p> Флизелиновые фотообои «Пентхаус» немецкого производителя Komar визуально расширят пространство в помещении и оптимально дополнят интерьер комнаты, в которой нет окон. Высокая детализация изображения, яркость и насыщенность цвета достигаются за счет использования современной технологии офсетной печати. На внешнюю сторону полотна наносят лак, защищающий от УФ-лучей и придающий изделию глянцевый блеск. Материал прост в наклеивании и практичен в уходе, потому что при его изготовлении используют только качественное целлюлозное и полимерное сырье. Панно, состоящее из четырех частей, долго сохраняет первоначальный вид.</p>",Komar,4036834549169,100,1310,100,2.1,Германия,Фотообои Komar Пентхаус,Фотообои Komar Пентхаус,"Фотообои «Пентхаус», флизелиновые, 368х248 см, 90020554",998de352-00b8-11e6-80c6-3640b5ae4b2f,город,,флизелин,флизелин,обычные,гладкие,,для флизелиновых обоев,Komar,,,2.48,3.68
"8-703 Фотообои KOMAR ""Золото"" 368смх2,54м бумажные",90018252,8-703,ООО Комар Продактс Рус,"<p>Фотообои Komar «Золото» напечатаны на гладкой полуглянцевой бумаге. Экологически чистое «дышащее» полотно позволяет использовать панно в помещениях с высокими требованиями, например, в спальной комнате. Цветочный орнамент теплых золотистых тонов будет оптимально смотреться в просторной гостиной, а также может применяться для зрительного зонирования пространства в любой другой комнате. Изображение разделено на восемь листов, подготовленных к нанесению на стену обычным способом. Размер каждого фрагмента дает возможность осуществить процесс наклеивания одному человеку.</p>",Komar,4036834087036,90,1005,90,1.9,Германия,Фотообои Komar Золото,Фотообои Komar Золото,"Фотообои «Золото», бумажные, 368х254 см, 90018252",3e4a5d20-f756-11e5-80c2-0007e92010d9,абстракция,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,3.68
"8-519 Фотообои KOMAR ""Воскресенье"" 368смх2,54м бумажные",90018259,8-519,ООО Комар Продактс Рус,"<p>Фотообои «Воскересенье» немецкого производителя Komar выполнены из высококачественной целлюлозы, что указывает на то, что материал натуральный и экологически чистый. Оптимальная циркуляция воздуха и гигроскопичность предотвращают появление пузырей на полотне. Панно разделено на восемь одинакового размера частей, которые аккуратно стыкуются и удобно наносятся на поверхность обработанной стены с применением клея. Использование современной технологии цифровой печати на полуглянцевой бумаге обеспечивает четкое и реалистичное изображение. За изделием просто ухаживать, нужно только регулярно проводить уборку сухой салфеткой</p>",Komar,4036834085193,90,1005,90,1.9,Германия,Фотообои Komar Воскресенье,Фотообои Komar Воскресенье,"Фотообои «Воскресенье», бумажные, 368х254 см, 90018259",9ad7271d-fa3b-11e5-80c2-0007e92010d9,природа,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,3.68
"8-507 Фотообои KOMAR ""Весна"" 368смх2,54м бумажные",90018263,8-507,ООО Комар Продактс Рус,"<p>Фотообои немецкого производителя Komar «Весна» выполнены из экологически чистых натуральных целлюлозных волокон. Благодаря этому материал гипоаллергенный и безопасный для здоровья. Износоустойчивое полотно хорошо пропускает воздух и предотвращает появление пузырей на поверхности, потому что отталкивает влагу. Яркий и детализированный рисунок выполнен с помощью современного метода цифровой печати на полуглянцевой бумаге, поэтому выглядит реалистично. Панно состоит из восьми частей, которые аккуратно стыкуются. В комплект входят обои в тубусе и специальный клей. </p>",Komar,4036834085070,90,1005,90,1.9,Германия,Фотообои Komar Весна,Фотообои Komar Весна,"Фотообои «Весна», бумажные, 368х254 см, 90018263",3e791202-fa3c-11e5-80c2-0007e92010d9,цветы,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,3.68
"8-941 Фотообои KOMAR ""Осенние цветы"" 368смх2,54м бумажные",90018205,8-941,ООО Комар Продактс Рус,"<p>Фотообои «Осенние цветы» бренда Komar — картина практически во всю стену, изготовленная из плотной полуглянцевой бумаги, состав которой не содержит вредных примесей, токсичных веществ. Материал безопасен для здоровья, подходит для аллергиков, а также отличается хорошей воздухопроницаемостью. Благодаря цифровой печати и качественным краскам изображение долгое время остается ярким и четким, не выцветает на солнце. Панно имеет горизонтальный формат и состоит из восьми листов, что облегчает наклеивание изделия. Для ухода за фотообоями достаточно протирать их сухой салфеткой без полирующих средств. В комплекте предусмотрен клей.</p>",Komar,4036834089412,10,1005,10,1.9,Германия,Фотообои Komar Осенние цветы,Фотообои Komar Осенние цветы,"Фотообои «Осенние цветы», бумажные, 368х254 см, 90018205",1dd5f010-f749-11e5-80c2-0007e92010d9,цветы,,бумага,бумага,нет,гладкие,для стен,для бумажных обоев,Komar,,,2.54,3.68
"8-740 Фотообои KOMAR ""Бьорк"" 368смх2,54м бумажные",90018239,8-740,ООО Комар Продактс Рус,"<p>Рисунок на бумажных обоях «Бьерк» бренда Komar имитирует фактуру березовой коры. Нейтральный сдержанный тон поверхности оживлен изображением в виде блоков кирпичной кладки, рисунок бересты неуловимо различается. Обои в таком исполнении могут стать подходящим решением для длинного коридора или холла. Вполне уместен рисунок и в жилых комнатах: на его фоне будут выигрышно смотреться оригинальные предметы мебели и декора. </p> 
<p>Преимущества обоев «Бьерк» фирмы Komar:</p> 
<ul> 
<li>плотные листы, пропитывающиеся клеем в течение трех минут;</li> 
<li>возможность использовать как фирменный клей, так и любой другой, предназначенный для бумажных обоев;</li> 
<li>экологически чистый натуральный материал, пропускающий воздух.</li> 
</ul>",Komar,4036834087401,10,1005,10,1.9,Германия,Фотообои Komar Бьёрк,Фотообои Komar Бьёрк,"Фотообои «Björk», бумажные, 254х368 см, 90018239",504f70ca-f754-11e5-80c2-0007e92010d9,текстура,,бумага,бумага,нет,гладкие,для стен,для бумажных обоев,Komar,,,2.54,3.68
"8-254 Фотообои KOMAR ""Луг"" 368смх2,54м бумажные",90018286,8-254,ООО Комар Продактс Рус,"<p>Фотообои «Луг» представлены немецким производителем Komar и выполнены из плотной полуглянцевой бумаги высокого качества. Яркая картина украсит интерьер комнаты и поможет визуально расширить помещение. Благодаря натуральному растительному составу обои лишены запаха, а хорошая воздухопроницаемость целлюлозы обеспечит стенам сухость. Для удобства нанесения панно разделено на восемь равных частей, каждая из которых имеет метки для точной стыковки. Современный цифровой метод печати обеспечивает четкость и яркость красок, изображение остается ярким на протяжении длительного времени. Фотообои укомплектованы клеем.</p>",Komar,4036834082543,90,1005,90,1.9,Германия,Фотообои Komar Луг,Фотообои Komar Луг,"Фотообои «Луг», бумажные, 368х254 см, 90018286",1c134003-f758-11e5-80c2-0007e92010d9,природа,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,3.68
"4-883 Фотообои KOMAR ""Атолл Ари"" 184смх2,54м бумажные",90018305,4-883,ООО Комар Продактс Рус,"<p>Фотообои «Атолл Ари» производителя Komar можно использовать при декорировании стен, потолка, а также применять для функционального зонирования жилого или офисного помещения. На полуглянцевую поверхность полотна нанесена высокодетализированная фотография белоснежного пляжа методом офсетной печати. Благодаря таким характеристикам изображение на долгое время сохраняет первоначальный вид. Покрытие разделено на 4 отдельных листа, которые требуется клеить внахлест. Модель изготовлена из прочной бумаги, за счет чего обладает повышенной воздухопроницаемостью и гипоаллергенна.</p>",Komar,4036834048839,90,1005,90,1.2,Германия,Фотообои Komar Атолл Ари,Фотообои Komar Атолл Ари,"Фотообои «Атолл Ари», бумажные, 184х254 см, 90018305",c3076ccf-fa3f-11e5-80c2-0007e92010d9,море,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,1.84
"8-899 Фотообои KOMAR ""Глориоса"" 368смх2,54м бумажные",90018232,8-899,ООО Комар Продактс Рус,"<p>Бумажные фотообои «Gloriosa» коллекции Floral производителя из Германии Komar оптимально подойдут для отделки гостиной, творческой студии, салона красоты и других помещений. Рисунок в виде яркой лилии, вьющейся перед белой кирпичной кладкой, создает эффект присутствия и помогает расставить акценты цвета в интерьере. Полотно имеет размер 368 x 254 см и разделено на 8 частей для удобства наклеивания. Плотная полуглянцевая бумага — качественный и полностью экологичный материал, поэтому подойдет даже людям, склонным к аллергическим реакциям. Обои легко крепятся к стене при помощи любого клея, предназначенного для материалов такого типа.</p>",Komar,4036834088996,10,1005,10,1.9,Германия,Фотообои Komar Gloriosa,Фотообои Komar Gloriosa,"Фотообои «Gloriosa», бумажные, 254х368 см, 90018232",688d4c75-f753-11e5-80c2-0007e92010d9,абстракция,,бумага,бумага,нет,гладкие,для стен,для бумажных обоев,Komar,,,2.54,3.68
"XXL4-052 Фотообои KOMAR ""Берег озера"" 368смх2,48м флизелиновые",90020563,XXL4-052,ООО Комар Продактс Рус,"<p>Фотообои «Берег озера» немецкого бренда Komar изготовлены из флизелина, который отличает высокая стойкость к температурным перепадам и воздействию солнечных лучей. Благодаря плотной основе покрытие поможет скрыть мелкие дефекты, оставшиеся после ремонта, замаскировать неровности или трещины на стенах. Прочные и не склонные к растяжению обои легко наносятся на поверхности и также просто снимаются в случае надобности. Материал можно очищать при помощи салфетки или пылесоса и использовать моющие средства. На флизелин хорошо ложится краситель, а изображение долго остается ярким и красочным. Рисунок на обоях позволяет зрительно расширить помещение, а также поделить его на зоны.</p>",Komar,4036834540524,100,1310,100,2.1,Германия,Фотообои Komar Берег озера,Фотообои Komar Берег озера,"Фотообои «Берег озера», флизелиновые, 368х248 см, 90020563",3acc5c60-c2b7-11e6-80d7-3640b5ae4b2f,природа,,флизелин,флизелин,обычные,гладкие,,для флизелиновых обоев,Komar,,,2.48,3.68
"8-471 Disney Фотообои KOMAR ""Университет монстров. Побег!"" 368смх2,54м бумажные",90018266,8-471,ООО Комар Продактс Рус,"<p>Яркие фотообои «Университет монстров. Побег» немецкого бренда Komar относятся к серии Disney и созданы для комнаты ребенка. Полотно изготовлено из плотной бумаги с глянцевым покрытием и обладает высокой воздухопроницаемостью, благодаря чему в помещении всегда приятная атмосфера. Цифровая печать сохраняет глубину оттенков и высокую детализацию исходного изображения. Для оклеивания подходит гладкая, очищенная поверхность, допускаются незначительные трещины, которые скроет полотно. Фрагменты обоев предварительно пропитываются клеем, затем монтируются внахлест. Необходимо тщательно расправлять листы при нанесении на стену, чтобы избежать складок. </p>",Komar,4036834084714,90,1005,90,1.9,Германия,Фотообои Komar Ун монстров. Побег!,Фотообои Komar Университет монстров. Побег!,"Фотообои «Университет монстров. Побег!», бумажные, 368х254 см, 90018266",023041cf-f75f-11e5-80c2-0007e92010d9,мультипликация,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,3.68
"4-321 Фотообои KOMAR ""Золотая ночь"" 254смх1,84м бумажные",90018332,4-321,ООО Комар Продактс Рус,"<p>Фотообои с мотивом «Золотая ночь» от компании Komar из Германии предназначены для декорирования спальни, гостиной, интерьера кафе или ресторана. За счет использования современных технологий офсетной печати достигается максимальная детализация и контрастность принта. Лицевая сторона полотна покрыта защитным лаком, поэтому изображение остается ярким при попадании прямых солнечных лучей. Модель разделена на четыре фрагмента, что облегчает монтаж и позволяет избежать заломов. Основа изготовлена из плотной пористой бумаги, которая впитывает клей, что гарантирует надежную фиксацию на стене.</p>",Komar,4036834043216,90,1005,90,1.2,Германия,Фотообои Komar Золотая ночь,Фотообои Komar Золотая ночь,"Фотообои «Золотая ночь», бумажные, 254х184 см, 90018332",6521e7ef-fa3d-11e5-80c2-0007e92010d9,город,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,1.84,2.54
"8-993 Фотообои KOMAR ""Вилла Лигурия"" 368смх2,54м бумажные",90020691,8-993,ООО Комар Продактс Рус,"<p>Фотообои «Вилла Лигурия» немецкой марки Komar изготовлены с использованием бумаги высокой плотности. На качественную целлюлозную основу нанесен высокодетализированный рисунок, покрытый сверху UV-лаком. Такой метод печати продлевает срок службы изделия, сохраняя яркость красок. Изображение визуально расширяет пространство, состоит из 8 панелей, стыкующихся внахлест В наборе присутствует специальный клей для фиксации полотна. Для сохранения качества обоев производитель рекомендует использовать их в помещениях с невысокой влажностью (спальня, гостиная, коридор), а очистку производить без использования моющих средств.</p>",Komar,4036834089931,90,1005,90,1.9,Германия,Фотообои Komar Вилла Лигурия,Фотообои Komar Вилла Лигурия,"Фотообои «Вилла Лигурия», бумажные, 368х254 см, 90020691",45eede5d-5279-11e7-80dc-80b10276bddf,природа,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,3.68
"4-440 Disney Фотообои KOMAR ""Боба Фетт"" 184смх2,54м бумажные",90020650,4-440,ООО Комар Продактс Рус,"<p>Фотообои «Боба Фетт» из коллекции Disney торговой марки Komar производятся из плотной полуглянцевой бумаги, на которую офсетным методом наносятся специальные колеры, изготовленные из нетоксичных веществ. Защитный УФ-слой, покрывающий рисунок, предотвращает его выцветание и увеличивает срок службы полотна. Панно предназначено для монтажа на гладкую поверхность без шероховатостей и щелей, предварительно обработанную обезжиривающим составом, чтобы обеспечить надежное сцепление с поверхностью и аккуратный вид. Модель состоит из четырех элементов, которые клеятся внахлест.</p>",Komar,4036834044404,90,1005,90,1.2,Германия,Фотообои Komar Боба Фетт,Фотообои Komar Боба Фетт,"Фотообои «Боба Фетт», бумажные, 184х254 см, 90020650",e12cef24-fa6f-11e5-80c2-0007e92010d9,фильмы,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,1.84
"8-516 Фотообои KOMAR ""Огни Нью-Йорка"" 368смх2,54м бумажные",90018260,8-516,ООО Комар Продактс Рус,"<p>Фотообои немецкого производителя Komar «Огни Нью-Йорка» подходят для декорирования гостиной, коридора, кабинета, спальни и других помещений. Высококачественные натуральные целлюлозные волокна делают материал гипоаллергенным и экологически чистым. Перед нанесением полотна следует выровнять поверхность и очистить от загрязнений. Это позволит плотно закрепить настенное покрытие с помощью клея без пузырей и складок. Высококачественное насыщенное изображение получено с помощью современной технологии цифровой печати. Рисунок остается ярким даже под действием прямых солнечных лучей.</p>",Komar,4036834085162,90,1005,90,1.9,Германия,Фотообои Komar Огни Нью-Йорка,Фотообои Komar Огни Нью-Йорка,"Фотообои «Огни Нью-Йорка», бумажные, 368х254 см, 90018260",bf591c70-fa3b-11e5-80c2-0007e92010d9,город,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,3.68
"8-739 Фотообои KOMAR ""Пикадилли"" 368смх2,54м бумажные",90018240,8-739,ООО Комар Продактс Рус,"<p>Крупноформатные фотообои «Пикадилли» из коллекции Floral немецкого производителя Komar помогут декорировать коридор, гостиную, спальню или украсят рабочее место. Бумажная основа из экологически чистых материалов абсолютно лишена запаха, воздухопроницаема, а также эффективно препятствует возникновению плесени или грибка. Панно легко очищается от незначительных загрязнений с использованием сухой ткани. Поклейка не требует больших усилий и позволит справиться даже человеку без опыта отделки. Восемь частей обеспечат простой и быстрый монтаж, рекомендуем предварительно выровнять поверхность стены.</p>",Komar,4036834087395,10,1005,10,1.9,Германия,Фотообои Komar Пикадилли,Фотообои Komar Пикадилли,"Фотообои «Пикадилли», бумажные, 368х254 см, 90018240",652e5f1f-f754-11e5-80c2-0007e92010d9,цветы,,бумага,бумага,нет,гладкие,для стен,для бумажных обоев,Komar,,,2.54,3.68
"8-921 Фотообои KOMAR ""Пляжный курорт"" 368смх2,54м бумажные",90018217,8-921,ООО Комар Продактс Рус,"<p>Панорамные фотообои «Пляжный курорт» немецкой торговой марки Komar — это зона отдыха в зале, гостиной, спальне и даже на рабочем месте. Бумажная основа гарантирует отсутствие вредных химических соединений, покрытие хорошо пропускает воздух, что блокирует возникновение микроорганизмов на стенах. Материал прихотлив в работе, при этом достаточно прочен, что позволяет избежать случайного разрыва при поклейке. Гладкая полуглянцевая поверхность подчеркнет ровные стены. При необходимости изображение покрывается лаком, что защищает рисунок от повреждения и выгорания красок. В комплекте производителем предусмотрен специальный клей.</p>",Komar,4036834089214,10,1005,10,1.9,Германия,Фотообои Komar Пляжный курорт,Фотообои Komar Пляжный курорт,"Фотообои «Пляжный курорт», бумажные, 368х254 см, 90018217",ef40fc30-f74c-11e5-80c2-0007e92010d9,путешествие,,бумага,бумага,нет,гладкие,для стен,для бумажных обоев,Komar,,,2.54,3.68
"8-9017 Фотообои KOMAR ""Доломитовые Альпы"" 388смх2,7м бумажные",90018294,8-9017,ООО Комар Продактс Рус,"<p>Фотообои «Доломитовые Альпы» немецкой компании Komar произведены из специальной уплотненной полиграфической бумаги высокого качества. Этот материал пропускает воздух, поэтому отлично подходит для использования в жилых комнатах и офисах. Пейзаж с изображением гор нанесен на полотно методом офсетной печати, благодаря чему рисунок очень реалистичен. Клей, который входит в комплект, необходимо нанести на обои и на предварительно очищенную и подготовленную стену. Части изделия прикладываются внахлест и разглаживаются мягкой сухой тканью или салфеткой. Высокая плотность материала позволяет скрывать мелкие неровности стены.</p>",Komar,4036834890179,100,1310,100,1.9,Германия,Фотообои Komar Доломитовые Альпы,Фотообои Komar Доломитовые Альпы,"Фотообои «Доломитовые Альпы», бумажные, 388х270 см, 90018294",961b5806-f72b-11e5-80c2-0007e92010d9,природа,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.7,3.88
"4-463 Disney Фотообои KOMAR ""Ариель"" 254смх1,84м бумажные",90018317,4-463,ООО Комар Продактс Рус,"<p>Фотообои «Ариэль» из коллекции Disney немецкого бренда Komar подойдут для зонирования детской комнаты и легко сочетаются с другим однотонным покрытием. Материал является экологически чистым, пропускает воздух и позволяет стенам «дышать». Краска хорошо ложится на бумагу и сохраняет яркость долгое время. Предварительная обработка поверхностей смесью для грунтовки и удаление неровностей обеспечат легкое нанесение покрытия, а также быстрое снятие при необходимости. Для очистки от загрязнений и пыли можно использовать сухую ткань без специальных средств. Фотообои состоят из четырех частей, которые клеятся встык.</p>",Komar,4036834044633,90,1005,90,1.2,Германия,Фотообои Komar Ариель,Фотообои Komar Ариель,"Фотообои «Ариель», бумажные, 254х184 см, 90018317",b9cbfc6e-fa6a-11e5-80c2-0007e92010d9,мультипликация,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,1.84,2.54
"8-068 Фотообои KOMAR ""Осенний лес"" 388смх2,7м бумажные",90018297,8-068,ООО Комар Продактс Рус,"<p>Фотообои «Осенний лес» производятся немецкой компанией Komar и рассчитаны на длительный срок службы благодаря высокому качеству. Изображение природы нанесено на плотную полуглянцевую бумагу. Этот материал известен хорошей воздухопроницаемостью, поэтому оптимален для использования в жилых помещениях. Яркие стойкие краски надолго сохраняют свой цвет, а высокая детализация делает изображение реалистичным. Для удобства монтажа полотно разделено на 8 частей, которые прикладываются внахлест. Клей, прилагающийся в комплекте, необходимо наносить на обои и предварительно подготовленную стену.</p>",Komar,4036834080686,100,1310,100,1.9,Германия,Фотообои Komar Осенний лес,Фотообои Komar Осенний лес,"Фотообои «Осенний лес», бумажные, 388х270 см, 90018297",82881bc1-f72d-11e5-80c2-0007e92010d9,природа,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.7,3.88
"XXL2-066 Фотообои KOMAR ""Оттенок"" 184смх2,48м флизелиновые",90020609,XXL2-066,ООО Комар Продактс Рус,"<p>Высококачественные фотообои «Оттенок» немецкого бренда Komar изготовлены из плотного флизелина, обладающего повышенной устойчивостью к износу и механическим повреждениям. Материал экологичен, способен маскировать небольшие дефекты стен и прост в уходе. Полотно хорошо приклеивается на предварительно смазанную клеем поверхность стен и не образует пузырьки воздуха и складки. Панно состоит из двух частей, которые легко стыкуются друг с другом в процессе работы. Покрытие можно применять для отделки спальни, зала, зоны отдыха, столовой и прихожей. Для создания принта использованы современные латексные чернила на водной основе.</p>",Komar,4036834520663,90,1310,90,1.3,Германия,Фотообои Komar Оттенок,Фотообои Komar Оттенок,"Фотообои «Оттенок», флизелиновые, 184х248 см, 90020609",3ac35f7d-4ace-11e8-80bf-00155d0b6801,цветы,,флизелин,флизелин,обычные,гладкие,,для флизелиновых обоев,Komar,,,2.48,1.84
"8-314 Фотообои KOMAR ""Белые розы"" 368смх2,54м бумажные",90018279,8-314,ООО Комар Продактс Рус,"<p>Фотообои «Белые розы» немецкого бренда Komar изготовлены из плотной глянцевой бумаги. Четкие линии и насыщенные краски делаю цветы объемными и реалистичными. Гладкая поверхность бумажного полотна хорошо фиксируется на стене и обладает высокой износостойкостью. Целлюлоза является гипоаллергенным материалом и хорошо пропускает воздух, а также не боится прямых солнечных лучей. Для удобства наклеивания панно разделено на восемь листов. Специально нанесенная разметка и приложенная инструкция облегчат распределение фрагментов на стене. Можно использовать клей, поставляемый производителем или любой другой, подходящий для бумажных обоев.</p>",Komar,4036834083144,90,1005,90,1.9,Германия,Фотообои Komar Белые розы,Фотообои Komar Белые розы,"Фотообои «Белые розы», бумажные, 368х254 см, 90018279",3fb30088-f71c-11e5-80c2-0007e92010d9,цветы,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,3.68
"8-532 Фотообои KOMAR ""Атлин: дорога (Atlin Road)"" 368см х2,54м бумажные",90020702,8-532,ООО Комар Продактс Рус,"<p>Фотообои Komar «Атлин: дорога» напечатаны на высококачественной полуглянцевой бумаге. Специальная обработка препятствует истиранию и выгоранию рисунка. Панно сохраняет яркость и насыщенность до 10 и более лет эксплуатации. Натуральная основа станет оптимальным выбором для помещений с повышенными экологическими требованиями, например, спальни или детской комнаты. Изображение уходящего вдаль шоссе визуально увеличит пространство, особенно если полотно расположить напротив входной двери. Покрытие наносится обычным способом на предварительно отшлифованную поверхность стен или отделочных плит.</p>",Komar,4036834085322,90,1005,90,1.9,Германия,Фотообои Komar Атлин: дорога,Фотообои Komar Атлин: дорога,"Фотообои «Атлин: дорога», бумажные, 368 х254 см, 90020702",508100ec-6df2-11e7-80dc-80b10276bddf,природа,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,3.68
"4-405 Disney Фотообои KOMAR ""Белоснежка"" 254смх1,84м бумажные",90018328,4-405,ООО Комар Продактс Рус,"<p>Фотообои «Белоснежка» из серии Disney немецкого производителя Komar подойдут для декорирования спальни девочки, а также разнообразят интерьер в кабинетах и фойе школ, детских садах и кафе. Модель изготовлена из бумажного материала повышенной плотности и позволяет скрыть мелкие недочеты и трещины. Для комфорта приклеивания панно состоит из четырех фрагментов. Яркий принт, нанесенный с использованием техники офсетной печати, создает 3D-эффект и сохраняет насыщенность цвета даже после долгого пребывания под прямыми лучами солнца. Полотно без труда отмывается от загрязнений мягкой салфеткой и водой.</p>",Komar,4036834044053,90,1005,90,1.2,Германия,Фотообои Komar Белоснежка,Фотообои Komar Белоснежка,"Фотообои «Белоснежка», бумажные, 254х184 см, 90018328",73ccf054-fa6d-11e5-80c2-0007e92010d9,мультипликация,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,1.84,2.54
"4-749 Фотообои KOMAR ""Романтика цветов"" 184смх2,54м бумажные",90018306,4-749,ООО Комар Продактс Рус,"<p>Фотообои из плотной полуглянцевой бумаги «Романтика цветов» компании Komar из Германии отличаются высоким качеством материала, гипоаллергенны и хорошо пропускают воздух, благодаря чему безопасны для здоровья. Полотно для удобства использования разделено на четыре листа, которые наклеиваются внахлест для получения цельной картинки. Яркий цветочный принт имеет высокое разрешение, наносится на бумажную основу и создает эффект присутствия. Уход за изделием заключается в сухой чистке: обои можно протереть тканевой салфеткой или пропылесосить с применением специальной насадки.</p>",Komar,4036834047498,90,1005,90,1.2,Германия,Фотообои Komar Романтика цветов,Фотообои Komar Романтика цветов,"Фотообои «Романтика цветов», бумажные, 184х254 см, 90018306",de0e4c06-fa3f-11e5-80c2-0007e92010d9,цветы,,бумага,бумага,обычные,гладкие,,для бумажных обоев,Komar,,,2.54,1.84
